name,roo_guidance_url,hs_nomenclature_version
Albania,https://www.gov.uk/guidance/summary-of-the-uk-albania-partnership-trade-and-cooperation-agreement,2007
Antigua and Barbuda,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Austria,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
The Bahamas,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Barbados,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Belgium,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Belize,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Botswana,https://www.gov.uk/guidance/summary-of-the-sacum-uk-economic-partnership-agreement-epa,2007
Bulgaria,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Cameroon,https://www.gov.uk/guidance/summary-of-the-uk-cameroon-economic-partnership-agreement,1996
Canada,https://www.gov.uk/guidance/summary-of-the-uk-canada-trade-continuity-agreement,2012
Chile,https://www.gov.uk/guidance/summary-of-the-uk-chile-association-agreement,2002
Colombia,https://www.gov.uk/guidance/summary-of-uk-andean-countries-trade-agreement,2007
Costa Rica,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
Croatia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Cyprus,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Czechia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Denmark,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Dominica,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Dominican Republic,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Ecuador,https://www.gov.uk/guidance/summary-of-uk-andean-countries-trade-agreement,2007
Egypt,https://www.gov.uk/guidance/summary-of-the-uk-egypt-association-agreement,2007
El Salvador,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
Estonia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Eswatini,https://www.gov.uk/guidance/summary-of-the-sacum-uk-economic-partnership-agreement-epa,2007
Faroe Islands,https://www.gov.uk/guidance/summary-of-the-uk-faroe-islands-free-trade-agreement-fta,2007
Fiji,https://www.gov.uk/guidance/summary-of-the-uk-pacific-economic-partnership-agreement-epa,1996
Finland,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
France,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Georgia,https://www.gov.uk/guidance/summary-of-the-uk-georgia-strategic-partnership-and-cooperation-agreement,2007
Germany,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Ghana,https://www.gov.uk/guidance/trade-with-ghana,2012
Greece,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Grenada,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Guatemala,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
Guyana,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Honduras,https://www.gov.uk/guidance/summary-of-the-uk-central-america-association-agreement,2007
Hungary,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Iceland,https://www.gov.uk/guidance/trade-with-iceland,2007
Ireland,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Israel,https://www.gov.uk/guidance/summary-of-the-uk-israel-trade-and-partnership-agreement,2002
Italy,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Ivory Coast,https://www.gov.uk/guidance/summary-of-the-uk-cote-divoire-stepping-stone-economic-partnership-agreement,2012
Jamaica,https://www.gov.uk/guidance/summary-of-the-cariforum-uk-economic-partnership-agreement-epa,1996
Japan,https://www.gov.uk/guidance/summary-of-the-uk-japan-comprehensive-economic-partnership-agreement,2017
Jordan,https://www.gov.uk/guidance/summary-of-the-uk-jordanassociationagreement,2002
Kenya,https://www.gov.uk/guidance/summary-of-the-uk-kenya-economic-partnership-agreement,2012
Kosovo,https://www.gov.uk/guidance/summary-of-the-uk-kosovopartnership-trade-and-cooperationagreement,2007
Latvia,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
Lebanon,https://www.gov.uk/guidance/summary-of-the-uk-lebanon-association-agreement,2002
Lesotho,https://www.gov.uk/guidance/summary-of-the-sacum-uk-economic-partnership-agreement-epa,2007
Liechtenstein,https://www.gov.uk/guidance/summary-of-the-uk-switzerland-liechtenstein-trade-agreement,2017
Lithuania,https://www.gov.uk/guidance/introduction-to-rules-of-origin-and-claiming-duties-when-trading-between-the-uk-and-eu,2017
