name,trade_agreement_title,trade_agreement_type,new_trade_agreement_url,new_scenario
Afghanistan,,,,GSP
Albania,"UK-Albania partnership, Trade and Cooperation Agreement",Trade and cooperation agreement,https://www.gov.uk/government/collections/uk-albania-partnership-trade-and-cooperation-agreement,TRADE_AGREEMENT
Algeria,,,,GSP_EXC_PARTNER
Andorra,,,,ANDORRA
Angola,,,,GSP
Antigua and Barbuda,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Argentina,,,,NON_PREF
Armenia,,,,GSP
Australia,,,,NON_PREF
Austria,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Azerbaijan,,,,NON_PREF
The Bahamas,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Bahrain,,,,NON_PREF
Bangladesh,,,,GSP
Barbados,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Belarus,,,,NON_PREF
Belgium,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Belize,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Benin,,,,GSP
Bhutan,,,,GSP
Bolivia,,,,GSP
Bosnia and Herzegovina,,,,NO_TA_PARTNER
Botswana,SACUM-UK economic partnership agreement (EPA),Economic partnership agreement,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,TRADE_AGREEMENT
Brazil,,,,NON_PREF
Brunei,,,,NON_PREF
Bulgaria,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Burkina Faso,,,,GSP
Burundi,,,,GSP
Cambodia,,,,GSP
Cameroon,UK-Cameroon Economic Partnership Agreement,Economic partnership agreement,https://www.gov.uk/government/collections/uk-cameroon-economic-partnership-agreement,TRADE_AGREEMENT
Canada,UK-Canada Trade Continuity Agreement,Trade continuity agreement,https://www.gov.uk/government/collections/uk-canada-trade-continuity-agreement,TRADE_AGREEMENT
Cape Verde,,,,GSP
Central African Republic,,,,GSP
Chad,,,,GSP
Chile,UK-Chile association agreement,Association agreement,https://www.gov.uk/government/collections/uk-chile-association-agreement,TRADE_AGREEMENT
China,,,,NON_PREF
Colombia,UK-Andean countries trade agreement,Trade agreement,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,TRADE_AGREEMENT
Comoros,,,,GSP
Congo (Democratic Republic),,,,GSP
Congo,,,,GSP_WITH_EXCLUSIONS
Costa Rica,UK-Central America association agreement,Association agreement,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRADE_AGREEMENT
Croatia,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Cuba,,,,NON_PREF
Cyprus,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Czechia,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Denmark,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Djibouti,,,,GSP
Dominica,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Dominican Republic,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
East Timor,,,,GSP
Ecuador,UK-Andean countries trade agreement,Trade agreement,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,TRADE_AGREEMENT
Egypt,UK-Egypt Association Agreement,Association agreement,https://www.gov.uk/government/collections/uk-egypt-associationagreement,TRADE_AGREEMENT
El Salvador,UK-Central America association agreement,Association agreement,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRADE_AGREEMENT
Equatorial Guinea,,,,NON_PREF
Eritrea,,,,GSP
Estonia,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Eswatini,SACUM-UK economic partnership agreement (EPA),Economic partnership agreement,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,TRADE_AGREEMENT
Ethiopia,,,,GSP
Faroe Islands,UK-Faroe Islands free trade agreement,Free trade agreement,https://www.gov.uk/government/collections/uk-faroe-islands-free-trade-agreement-fta,TRADE_AGREEMENT_NO_ROO_TWUK
Fiji,UK-Pacific economic partnership agreement (EPA),Economic partnership agreement,https://www.gov.uk/government/collections/uk-pacific-economic-partnership-agreement,TRADE_AGREEMENT
Finland,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
France,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Gabon,,,,NON_PREF
Georgia,UK-Georgia strategic partnership and cooperation agreement,Strategic partnership and cooperation agreement,https://www.gov.uk/government/collections/uk-georgia-strategic-partnership-and-cooperation-agreement--2,TRADE_AGREEMENT
Germany,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Ghana,UK-Ghana Interim Trade Partnership Agreement,Interim trade partnership agreement,https://www.gov.uk/government/collections/uk-ghana-interim-trade-partnership-agreement,TRADE_AGREEMENT
Greece,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Grenada,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Guatemala,UK-Central America association agreement,Association agreement,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRADE_AGREEMENT
Guinea,,,,GSP
Guinea-Bissau,,,,GSP
Guyana,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Haiti,,,,GSP
Honduras,UK-Central America association agreement,Association agreement,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRADE_AGREEMENT
Hungary,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Iceland,"Agreement on trade in goods between Iceland, Norway and the UK",Agreement on trade in goods,https://www.gov.uk/government/collections/agreement-on-trade-in-goods-between-iceland-norway-and-the-uk,TRADE_AGREEMENT
India,,,,GSP_WITH_EXCLUSIONS
Indonesia,,,,GSP_WITH_EXCLUSIONS
Iran,,,,DOM_LEG
Iraq,,,,DOM_LEG
Ireland,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Israel,UK-Israel trade and partnership agreement,Trade and partnership agreement,https://www.gov.uk/government/collections/uk-israel-trade-and-partnership-agreement,TRADE_AGREEMENT
Italy,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Ivory Coast,UK-Côte d’Ivoire Stepping Stone Economic Partnership Agreement,Economic partnership agreement,https://www.gov.uk/government/collections/uk-cote-divoire-stepping-stone-economic-partnership-agreement,TRADE_AGREEMENT
Jamaica,CARIFORUM-UK economic partnership agreement,Economic partnership agreement,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRADE_AGREEMENT
Japan,UK-Japan Comprehensive Economic Partnership Agreement,Comprehensive economic partnership agreement,https://www.gov.uk/government/collections/uk-japan-comprehensive-economic-partnership-agreement,TRADE_AGREEMENT_WITH_INFORMATION_SHARING
Jordan,UK-Jordan association agreement,Association agreement,https://www.gov.uk/government/collections/uk-jordan-association-agreement,TRADE_AGREEMENT
Kazakhstan,,,,NON_PREF
Kenya,UK-Kenya Economic Partnership Agreement,Economic partnership agreement,https://www.gov.uk/government/collections/uk-kenya-economic-partnership-agreement,TRADE_AGREEMENT_GSP_TRANS
Kiribati,,,,GSP
North Korea,,,,NON_PREF
Kosovo,"UK-Kosovo?partnership, trade and cooperation?agreement","Partnership, trade and cooperation agreement",https://www.gov.uk/government/collections/uk-kosovopartnership-trade-and-cooperationagreement,TRADE_AGREEMENT
Kuwait,,,,NON_PREF
Kyrgyzstan,,,,GSP
Laos,,,,GSP
Latvia,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Lebanon,UK-Lebanon association agreement,Association agreement,https://www.gov.uk/government/collections/uk-lebanon-association-agreement,TRADE_AGREEMENT
Lesotho,SACUM-UK economic partnership agreement (EPA),Economic partnership agreement,https://www.gov.uk/government/collections/sacum-uk-economic-partnership-agreement-epa,TRADE_AGREEMENT_GSP_INDEF
Liberia,,,,GSP
Libya,,,,DOM_LEG
Liechtenstein,UK-Switzerland-Liechtenstein Trade Agreement,Trade agreement,https://www.gov.uk/government/collections/uk-switzerland-liechtenstein-trade-agreement,TRADE_AGREEMENT
Lithuania,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Luxembourg,UK/EU and EAEC: Trade and Cooperation Agreement,Trade and cooperation agreement,https://www.gov.uk/government/publications/ukeu-and-eaec-trade-and-cooperation-agreement-ts-no82021,TRADE_AGREEMENT_EU
Madagascar,,,,GSP
Malawi,,,,GSP
Malaysia,,,,NON_PREF
