Section ID,Commodity code,Documents,
1,101300000,CITES - Endangered Species Protection | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of live animals | Voluntary - Products from organic production,
1,101900000,Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of live animals | Voluntary - Products from organic production,
1,103100000,CITES - Endangered Species Protection | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of live animals | Voluntary - Products from organic production,
1,106200000,CITES - Endangered Species Protection | Control of pesticide residues in plant and animal products intended for human consumption | Health control of live animals | Voluntary - Products from organic production,
1,106900000,CITES - Endangered Species Protection | Health control of live animals | Plant health control | Voluntary - Products from organic production,
1,205002000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,205008000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,208300000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,208500000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,208600000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Import requirements for seal products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,209900000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,307600000,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of fishery products intended for human consumption | Health control of fishery products not intended for human consumption | Health control of products of animal origin for human consumption | Labelling of fishery products | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,406200000,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,502100000,Health control of products of animal origin not intended for human consumption,
1,502900000,Health control of products of animal origin not intended for human consumption,
1,504000010,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,504000090,"CITES - Endangered Species Protection | Control of contaminants in foodstuffs | Control of residues of veterinary medicines in animals and animal products for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of products of animal origin for human consumption | Health control of products of animal origin not intended for human consumption | Labelling of foodstuffs | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
1,505900000,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption,
1,506100000,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Import requirements for seal products,
1,506900000,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Import requirements for seal products,
1,507100000,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Import requirements for seal products,
1,507900000,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Import requirements for seal products,
1,508000010,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Voluntary - Products from organic production,
1,508000020,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Voluntary - Products from organic production,
1,508000090,CITES - Endangered Species Protection | Health control of products of animal origin not intended for human consumption | Voluntary - Products from organic production,
1,511100000,"Health control of semen, ova and embryos | Voluntary - Products from organic production",
2,603900000,CITES - Endangered Species Protection | Voluntary - Products from organic production,
2,701100000,Marketing requirements for seeds and plant propagating material | Plant health control | Voluntary - Products from organic production,
2,702000007,"Control of contaminants in foodstuffs | Control of pesticide residues in plant and animal products intended for human consumption | Health control of Genetically Modified (GM) food and novel food | Health control of foodstuffs of non-animal origin | Labelling of foodstuffs | Marketing standards for fresh fruit and vegetables | Traceability, compliance and responsibility in food and feed | Voluntary - Products from organic production",
