Country,ROO 1,ROO 2,ROO 3,Priority 1,Priority 2,Priority 3,,
Afghanistan,GSP,,,1,,,,
Albania,PEM,,,3,,,,
Algeria,Euromed,,,3,,,,
Angola (inc Cabinda),GSP,,,1,,,,
Anguilla,OCTS,,,1,,,,
Antarctica,OCTS,,,1,,,,
Antigua and Barbuda,EPA_CARIFORUM,,,2,,,,
Armenia,GSP,,,1,,,,
Aruba,OCTS,,,,,,,
Bahamas,EPA_CARIFORUM,,,2,,,,
Bangladesh,GSP,,,1,,,,
Barbados,EPA_CARIFORUM,,,2,,,,
Belize,EPA_CARIFORUM,,,2,,,,
Bermuda,OCTS,,,1,,,,
Benin,GSP,,,1,,,,
Bhutan,GSP,,,1,,,,
Bolivia,GSP,,,1,,,,
Bonaire,OCTS,,,3,,,,
Bosnia and Herzegovina,PEM,,,3,,,,
Botswana,EPA SADC,,,3,,,,
British Indian Ocean Territory,OCTS,,,1,,,,
Burkina Faso,GSP,,,1,,,,
Burundi,GSP,,,1,,,,
Cambodia (Kampuchea),GSP,,,1,,,,
Cameroon,TPM,EPA MAR,,1,3,,,
Canada,Canada FTA,,,3,,,,
Cape Verde,GSP,,,1,,,,
Cayman Islands,OCTS,,,1,,,,
Central African Republic,GSP,,,1,,,,
Ceuta (not on helpdesk),https://eur-lex.europa.eu/legal-content/EN/TXT/?qid=1440506515728&uri=CELEX:32001R0082,,,3,,,,
Chad,GSP,,,1,,,,
Chile,Chile FTA,,,1,,,,
Colombia,Andean Community FTA,,,3,,,,
Comoros,GSP,,,1,,,,
Congo (Brazzaville),GSP,,,1,,,,
"Congo, Democratic Republic of (formerly Zaire)",GSP,,,1,,,,
Cook Islands (New Zealand Oceania),GSP,,,1,,,,
Costa Rica,FTA CA,,,3,,,,
Curacao,OCTS,,,3,,,,
Djibouti,GSP,,,1,,,,
Dominica,EPA_CARIFORUM,,,2,,,,
Dominican Republic,EPA_CARIFORUM,,,2,,,,
Ecuador (inc. Galapagos Islands),Andean Community FTA,,,3,,,,
Egypt,Euromed,PEM,GSP,3,3,1,,
El Salvador,FTA CA,GSP,,3,1,,,
Equatorial Guinea,GSP,,,1,,,,
Eritrea,GSP,,,1,,,,
Ethiopia,GSP,,,1,,,,
Falkland Islands,OCTS,,,1,,,,
Faroe Islands,PEM,EEA,,1,3,,,
Fiji,EPA Pacific,,,1,,,,
French Polynesia,OCTS,,,3,,,,
French Southern Territory,OCTS,,,3,,,,
Gambia,GSP,,,1,,,,
Georgia,FTA DC,GSP,,3,1,,,
Ghana,TPM,EPA MAR,,1,3,,,
Greenland,OCTS,,,3,,,,
Grenada,EPA_CARIFORUM,,,2,,,,
Guatemala,FTA CA,GSP,,3,1,,,
Guinea,GSP,,,1,,,,
Guinea-Bissau,GSP,,,1,,,,
Guyana,EPA_CARIFORUM,GSP,,2,1,,,
