"geographical_area_id","geographical_area_sid","rules_of_origin_scheme_sid","validity_start_date","validity_end_date"
AF,196,2,1970-01-01 00:00:00,
AG,253,9,1970-01-01 00:00:00,
AI,314,15,1970-01-01 00:00:00,
AL,376,3,1970-01-01 00:00:00,
AM,142,16,1970-01-01 00:00:00,
AO,448,2,1970-01-01 00:00:00,
AQ,138,15,1970-01-01 00:00:00,
AW,378,15,1970-01-01 00:00:00,
BA,431,3,1970-01-01 00:00:00,
BB,144,9,1970-01-01 00:00:00,
BD,432,2,1970-01-01 00:00:00,
BF,380,2,1970-01-01 00:00:00,
BI,381,2,1970-01-01 00:00:00,
BJ,202,2,1970-01-01 00:00:00,
BL,456,15,1970-01-01 00:00:00,
BM,258,15,1970-01-01 00:00:00,
BO,319,16,1970-01-01 00:00:00,
BQ,458,15,1970-01-01 00:00:00,
BS,42,9,1970-01-01 00:00:00,
BT,434,2,1970-01-01 00:00:00,
BW,96,13,1970-01-01 00:00:00,
BZ,320,9,1970-01-01 00:00:00,
CA,146,18,1970-01-01 00:00:00,
CD,295,2,1970-01-01 00:00:00,
CF,435,2,1970-01-01 00:00:00,
CG,436,2,1970-01-01 00:00:00,
CI,385,17,1970-01-01 00:00:00,
CK,33,2,1970-01-01 00:00:00,
CL,205,5,1970-01-01 00:00:00,
CM,260,17,1970-01-01 00:00:00,
CO,322,11,1970-01-01 00:00:00,
CR,101,10,1970-01-01 00:00:00,
CV,389,16,1970-01-01 00:00:00,
CW,459,15,1970-01-01 00:00:00,
DJ,207,2,1970-01-01 00:00:00,
DM,209,9,1970-01-01 00:00:00,
DO,263,9,1970-01-01 00:00:00,
DZ,108,4,1970-01-01 00:00:00,
EC,326,11,1970-01-01 00:00:00,
EG,109,4,1970-01-01 00:00:00,
EG,109,3,1970-01-01 00:00:00,
EH,461,4,1970-01-01 00:00:00,
ER,121,2,1970-01-01 00:00:00,
ET,149,2,1970-01-01 00:00:00,
FJ,210,12,1970-01-01 00:00:00,
FK,150,15,1970-01-01 00:00:00,
FM,440,2,1970-01-01 00:00:00,
FO,330,3,1970-01-01 00:00:00,
FO,330,14,1970-01-01 00:00:00,
GD,120,9,1970-01-01 00:00:00,
GE,111,6,1970-01-01 00:00:00,
GH,211,17,1970-01-01 00:00:00,
GL,49,15,1970-01-01 00:00:00,
GM,50,2,1970-01-01 00:00:00,
GN,112,2,1970-01-01 00:00:00,
GQ,443,2,1970-01-01 00:00:00,
GS,31,15,1970-01-01 00:00:00,
GT,152,10,1970-01-01 00:00:00,
GW,394,2,1970-01-01 00:00:00,
GY,113,9,1970-01-01 00:00:00,
HN,268,10,1970-01-01 00:00:00,
HT,396,2,1970-01-01 00:00:00,
ID,214,2,1970-01-01 00:00:00,
