Code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
100000000,27623,80,0,,-1,,LIVE ANIMALS,0
101000000,27624,80,0,100000000,27623,80,"Live horses, asses, mules and hinnies",0
101210000,93797,10,0,101000000,27624,80,Horses,1
101210000,93796,80,1,101210000,93797,10,Pure-bred breeding animals,2
101290000,93798,80,0,101210000,93797,10,Other,2
101291000,93799,80,1,101290000,93798,80,For slaughter,3
101299000,93800,80,1,101290000,93798,80,Other,3
101300000,93801,80,1,101000000,27624,80,Asses,1
101900000,72763,80,1,101000000,27624,80,Other,1
102000000,27633,80,0,100000000,27623,80,Live bovine animals,0
102210000,94053,10,0,102000000,27633,80,Cattle,1
102210000,94047,80,0,102210000,94053,10,Pure-bred breeding animals,2
102211000,94048,80,1,102210000,94047,80,Heifers (female bovines that have never calved),3
102213000,94049,80,1,102210000,94047,80,Cows,3
102219000,94050,80,1,102210000,94047,80,Other,3
102290000,94056,80,0,102210000,94053,10,Other,2
102290500,96756,80,1,102290000,94056,80,Of the sub-genus Bibos or of the sub-genus Poephagus,3
102291000,96757,10,0,102290000,94056,80,Other,3
102291000,94057,80,0,102291000,96757,10,Of a weight not exceeding 80 kg,4
102291010,94058,80,1,102291000,94057,80,"Young male bovine animals, intended for fattening",5
102291020,94059,80,1,102291000,94057,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",5
102291030,94060,80,1,102291000,94057,80,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",5
102291040,94061,80,1,102291000,94057,80,"Heifers of the spotted Simmental breed, other than for slaughter",5
102291050,94062,80,1,102291000,94057,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",5
102291090,94063,80,1,102291000,94057,80,Other,5
102292100,94064,10,0,102291000,96757,10,Of a weight exceeding 80 kg but not exceeding 160 kg,4
102292100,94065,80,1,102292100,94064,10,For slaughter,5
102292900,94066,80,0,102292100,94064,10,Other,5
102292910,94067,80,1,102292900,94066,80,"Young male bovine animals, intended for fattening",6
102292920,94068,80,1,102292900,94066,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6
102292930,94069,80,1,102292900,94066,80,Heifers of the Schwyz and Fribourg breeds,6
102292940,94070,80,1,102292900,94066,80,Heifers of the spotted Simmental breed,6
102292950,94071,80,1,102292900,94066,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6
102292990,94072,80,1,102292900,94066,80,Other,6
102294100,94073,10,0,102291000,96757,10,Of a weight exceeding 160 kg but not exceeding 300 kg,4
102294100,94074,80,1,102294100,94073,10,For slaughter,5
102294900,94075,80,0,102294100,94073,10,Other,5
102294910,94076,80,1,102294900,94075,80,"Young male bovine animals, intended for fattening",6
102294920,94077,80,1,102294900,94075,80,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6
102294930,94078,80,1,102294900,94075,80,Heifers and cows of the Schwyz and Fribourg breeds,6
102294940,94079,80,1,102294900,94075,80,Heifers and cows of the spotted Simmental breed,6
102294950,94080,80,1,102294900,94075,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6
102294990,94081,80,1,102294900,94075,80,Other,6
102295100,94082,10,0,102291000,96757,10,Of a weight exceeding 300 kg,4
102295100,94083,20,0,102295100,94082,10,Heifers (female bovines that have never calved),5
102295100,94084,80,0,102295100,94083,20,For slaughter,6
102295110,94085,80,1,102295100,94084,80,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",7
102295190,94086,80,1,102295100,94084,80,Other,7
102295900,94087,80,0,102295100,94083,20,Other,6
102295911,94088,10,0,102295900,94087,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7
102295911,94089,80,1,102295911,94088,10,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8
102295919,94090,80,1,102295911,94088,10,Other,8
102295921,94091,10,0,102295900,94087,80,Of the Schwyz and Fribourg breeds,7
102295921,94092,80,1,102295921,94091,10,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8
102295929,94093,80,1,102295921,94091,10,Other,8
102295931,94094,10,0,102295900,94087,80,Of the spotted Simmental breed,7
102295931,94095,80,1,102295931,94094,10,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8
102295939,94096,80,1,102295931,94094,10,Other,8
102295991,94097,10,0,102295900,94087,80,Other,7
102295991,94098,80,1,102295991,94097,10,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",8
102295999,94099,80,1,102295991,94097,10,Other,8
102296100,94100,10,0,102295100,94082,10,Cows,5
102296100,94101,80,1,102296100,94100,10,For slaughter,6
102296900,94102,80,0,102296100,94100,10,Other,6
102296910,94103,80,1,102296900,94102,80,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",7
102296920,94104,80,1,102296900,94102,80,Of the Schwyz and Fribourg breeds,7
102296930,94105,80,1,102296900,94102,80,Of the spotted Simmental breed,7
102296990,94106,80,1,102296900,94102,80,Other,7
102299100,94118,10,0,102295100,94082,10,Other,5
102299100,94119,80,0,102299100,94118,10,For slaughter,6
102299110,94120,80,1,102299100,94119,80,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",7
102299190,94121,80,1,102299100,94119,80,Other,7
102299900,94122,80,0,102299100,94118,10,Other,6
102299921,94123,10,0,102299900,94122,80,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",7
102299921,94124,80,1,102299921,94123,10,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",8
102299929,94125,80,1,102299921,94123,10,Other,8
102299991,94126,10,0,102299900,94122,80,Other,7
102299991,94127,80,1,102299991,94126,10,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",8
102299999,94128,80,1,102299991,94126,10,Other,8
102310000,94054,10,0,102000000,27633,80,Buffalo,1
102310000,94051,80,1,102310000,94054,10,Pure-bred breeding animals,2
102390000,94055,80,0,102310000,94054,10,Other,2
102391000,94129,80,0,102390000,94055,80,Domestic species,3
102391010,96165,80,1,102391000,94129,80,Of a weight exceeding 160 kg,4
102391090,96167,80,1,102391000,94129,80,Other,4
102399000,94130,80,1,102390000,94055,80,Other,3
102900000,27638,80,0,102000000,27633,80,Other,1
102902000,94052,80,1,102900000,27638,80,Pure-bred breeding animals,2
102909100,94131,10,0,102900000,27638,80,Other,2
102909100,94132,80,0,102909100,94131,10,Domestic species,3
102909110,96168,80,1,102909100,94132,80,Of a weight exceeding 160 kg,4
102909190,96166,80,1,102909100,94132,80,Other,4
102909900,94133,80,1,102909100,94131,10,Other,3
103000000,27762,80,0,100000000,27623,80,Live swine,0
103100000,27763,80,1,103000000,27762,80,Pure-bred breeding animals,1
103910000,27764,10,0,103000000,27762,80,Other,1
103910000,27765,80,0,103910000,27764,10,Weighing less than 50 kg,2
103911000,27766,80,1,103910000,27765,80,Domestic species,3
103919000,27767,80,1,103910000,27765,80,Other,3
103920000,27768,80,0,103910000,27764,10,Weighing 50 kg or more,2
103921100,27769,10,0,103920000,27768,80,Domestic species,3
103921100,27770,80,1,103921100,27769,10,"Sows having farrowed at least once, of a weight of not less than 160 kg",4
103921900,27771,80,1,103921100,27769,10,Other,4
103929000,27772,80,1,103920000,27768,80,Other,3
104000000,27773,80,0,100000000,27623,80,Live sheep and goats,0
104100000,27774,80,0,104000000,27773,80,Sheep,1
104101000,27775,80,1,104100000,27774,80,Pure-bred breeding animals,2
104103000,27776,10,0,104100000,27774,80,Other,2
104103000,27777,80,1,104103000,27776,10,Lambs (up to a year old),3
104108000,27778,80,1,104103000,27776,10,Other,3
104200000,27780,80,0,104000000,27773,80,Goats,1
104201000,27781,80,1,104200000,27780,80,Pure-bred breeding animals,2
104209000,27782,80,1,104200000,27780,80,Other,2
105000000,27783,80,0,100000000,27623,80,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",0
105110000,27784,10,0,105000000,27783,80,Weighing not more than 185 g,1
105110000,27785,80,0,105110000,27784,10,Fowls of the species Gallus domesticus,2
105111100,27786,10,0,105110000,27785,80,Grandparent and parent female chicks,3
105111100,27787,80,1,105111100,27786,10,Laying stocks,4
105111900,27788,80,1,105111100,27786,10,Other,4
105119100,27789,10,0,105110000,27785,80,Other,3
105119100,27790,80,1,105119100,27789,10,Laying stocks,4
105119900,27791,80,1,105119100,27789,10,Other,4
105120000,59201,80,1,105110000,27784,10,Turkeys,2
105130000,94185,80,1,105110000,27784,10,Ducks,2
105140000,94186,80,1,105110000,27784,10,Geese,2
105150000,94187,80,1,105110000,27784,10,Guinea fowls,2
105940000,85304,10,0,105000000,27783,80,Other,1
105940000,85305,80,1,105940000,85304,10,Fowls of the species Gallus domesticus,2
105990000,27797,80,0,105940000,85304,10,Other,2
105991000,27798,80,1,105990000,27797,80,Ducks,3
105992000,27799,80,1,105990000,27797,80,Geese,3
105993000,27800,80,1,105990000,27797,80,Turkeys,3
105995000,27801,80,1,105990000,27797,80,Guinea fowls,3
106000000,27802,80,0,100000000,27623,80,Other live animals,0
106110000,72769,10,0,106000000,27802,80,Mammals,1
106110000,72770,80,1,106110000,72769,10,Primates,2
106120000,72771,80,1,106110000,72769,10,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",2
106130000,94188,80,1,106110000,72769,10,Camels and other camelids (Camelidae),2
106140000,94189,80,0,106110000,72769,10,Rabbits and hares,2
106141000,94190,80,1,106140000,94189,80,Domestic rabbits,3
106149000,94191,80,1,106140000,94189,80,Other,3
106190000,72772,80,1,106110000,72769,10,Other,2
106200000,72775,80,1,106000000,27802,80,Reptiles (including snakes and turtles),1
106310000,72776,10,0,106000000,27802,80,Birds,1
106310000,72777,80,1,106310000,72776,10,Birds of prey,2
106320000,72778,80,1,106310000,72776,10,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",2
106330000,94192,80,1,106310000,72776,10,Ostriches; emus (Dromaius novaehollandiae),2
106390000,72779,80,0,106310000,72776,10,Other,2
106391000,72780,80,1,106390000,72779,80,Pigeons,3
106398000,94193,80,1,106390000,72779,80,Other,3
106410000,94194,10,0,106000000,27802,80,Insects,1
106410000,94195,80,1,106410000,94194,10,Bees,2
106490000,94196,80,1,106410000,94194,10,Other,2
106900000,72782,80,1,106000000,27802,80,Other,1
