Code,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,clean_content,searched_unique_singleword,unsearched_unique_singleword,searched_pairword,searched_unique_singleword_synonym,searched_words,ranking_score,final_category
100000000,27623,80,0,,-1,,LIVE ANIMALS,0,live animal,animal,live,,animal animate_being beast brute creature fauna carnal fleshly sensual,animal animate_being beast brute creature fauna carnal fleshly sensual,12,animal animate_being beast brute creature fauna carnal fleshly sensual 
101000000,27624,80,0,100000000.0,27623,80.0,"Live horses, asses, mules and hinnies",0,live horse ass mule hinny,horse,live as mule hinny,,horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight,horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight,12,"horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight Asses, Hinnies, Mules"
101210000,93797,10,0,101000000.0,27624,80.0,Horses,1,horse,horse,,,horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight,horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight,11,"horse Equus_caballus gymnastic_horse cavalry horse_cavalry sawhorse sawbuck buck knight Asses, Hinnies, Mules"
101210000,93796,80,1,101210000.0,93797,10.0,Pure-bred breeding animals,2,purebred breeding animal,animal,purebred breeding,,animal animate_being beast brute creature fauna carnal fleshly sensual,animal animate_being beast brute creature fauna carnal fleshly sensual,10,"animal animate_being beast brute creature fauna carnal fleshly sensual Asses, Hinnies, Mules"
101290000,93798,80,0,101210000.0,93797,10.0,Other,2,,,,,,,10,"other Asses, Hinnies, Mules"
101291000,93799,80,1,101290000.0,93798,80.0,For slaughter,3,slaughter,,slaughter,,,,9,"slaughter Asses, Hinnies, Mules"
101299000,93800,80,1,101290000.0,93798,80.0,Other,3,,,,,,,9,"other Asses, Hinnies, Mules"
101300000,93801,80,1,101000000.0,27624,80.0,Asses,1,ass,,as,,,,11,"as Asses, Hinnies, Mules"
101900000,72763,80,1,101000000.0,27624,80.0,Other,1,,,,,,,11,"other Asses, Hinnies, Mules"
102000000,27633,80,0,100000000.0,27623,80.0,Live bovine animals,0,live bovine animal,bovine animal,live,,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,12,"bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102210000,94053,10,0,102000000.0,27633,80.0,Cattle,1,cattle,,cattle,,,,11,"cattle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102210000,94047,80,0,102210000.0,94053,10.0,Pure-bred breeding animals,2,purebred breeding animal,animal,purebred breeding,,animal animate_being beast brute creature fauna carnal fleshly sensual,animal animate_being beast brute creature fauna carnal fleshly sensual,10,"animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102211000,94048,80,1,102210000.0,94047,80.0,Heifers (female bovines that have never calved),3,heifer female bovine never calved,bovine,heifer female never calved,,bovine bovid,bovine bovid,9,"bovine bovid Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102213000,94049,80,1,102210000.0,94047,80.0,Cows,3,cow,,cow,,,,9,"cow Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102219000,94050,80,1,102210000.0,94047,80.0,Other,3,,,,,,,9,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102290000,94056,80,0,102210000.0,94053,10.0,Other,2,,,,,,,10,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102290500,96756,80,1,102290000.0,94056,80.0,Of the sub-genus Bibos or of the sub-genus Poephagus,3,subgenu bibo subgenu poephagu,,subgenu bibo subgenu poephagu,,,,9,"subgenu bibo subgenu poephagu Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291000,96757,10,0,102290000.0,94056,80.0,Other,3,,,,,,,9,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291000,94057,80,0,102291000.0,96757,10.0,Of a weight not exceeding 80 kg,4,weight exceeding kg,weight,exceeding kg,,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,8,"weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291010,94058,80,1,102291000.0,94057,80.0,"Young male bovine animals, intended for fattening",5,young male bovine animal intended fattening,bovine animal,young male intended fattening,,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,7,"bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291020,94059,80,1,102291000.0,94057,80.0,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",5,heifer grey brown yellow mountain breed spotted pinzgau breed slaughter,,heifer grey brown yellow mountain breed spotted pinzgau breed slaughter,,,,7,"heifer grey brown yellow mountain breed spotted pinzgau breed slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291030,94060,80,1,102291000.0,94057,80.0,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",5,heifer schwyz fribourg breed slaughter,,heifer schwyz fribourg breed slaughter,,,,7,"heifer schwyz fribourg breed slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291040,94061,80,1,102291000.0,94057,80.0,"Heifers of the spotted Simmental breed, other than for slaughter",5,heifer spotted simmental breed slaughter,,heifer spotted simmental breed slaughter,,,,7,"heifer spotted simmental breed slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291050,94062,80,1,102291000.0,94057,80.0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",5,bull schwyz fribourg spotted simmental breed slaughter,,bull schwyz fribourg spotted simmental breed slaughter,,,,7,"bull schwyz fribourg spotted simmental breed slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102291090,94063,80,1,102291000.0,94057,80.0,Other,5,,,,,,,7,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292100,94064,10,0,102291000.0,96757,10.0,Of a weight exceeding 80 kg but not exceeding 160 kg,4,weight exceeding kg exceeding kg,weight,exceeding kg exceeding kg,,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,8,"weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292100,94065,80,1,102292100.0,94064,10.0,For slaughter,5,slaughter,,slaughter,,,,7,"slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292900,94066,80,0,102292100.0,94064,10.0,Other,5,,,,,,,7,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292910,94067,80,1,102292900.0,94066,80.0,"Young male bovine animals, intended for fattening",6,young male bovine animal intended fattening,bovine animal,young male intended fattening,,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,6,"bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292920,94068,80,1,102292900.0,94066,80.0,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,heifer grey brown yellow mountain breed spotted pinzgau breed,,heifer grey brown yellow mountain breed spotted pinzgau breed,,,,6,"heifer grey brown yellow mountain breed spotted pinzgau breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292930,94069,80,1,102292900.0,94066,80.0,Heifers of the Schwyz and Fribourg breeds,6,heifer schwyz fribourg breed,,heifer schwyz fribourg breed,,,,6,"heifer schwyz fribourg breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292940,94070,80,1,102292900.0,94066,80.0,Heifers of the spotted Simmental breed,6,heifer spotted simmental breed,,heifer spotted simmental breed,,,,6,"heifer spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292950,94071,80,1,102292900.0,94066,80.0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,bull schwyz fribourg spotted simmental breed,,bull schwyz fribourg spotted simmental breed,,,,6,"bull schwyz fribourg spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102292990,94072,80,1,102292900.0,94066,80.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294100,94073,10,0,102291000.0,96757,10.0,Of a weight exceeding 160 kg but not exceeding 300 kg,4,weight exceeding kg exceeding kg,weight,exceeding kg exceeding kg,,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle,8,"weight free_weight exercising_weight weightiness system_of_weights weight_unit weighting burden burthen weight_down slant angle Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294100,94074,80,1,102294100.0,94073,10.0,For slaughter,5,slaughter,,slaughter,,,,7,"slaughter Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294900,94075,80,0,102294100.0,94073,10.0,Other,5,,,,,,,7,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294910,94076,80,1,102294900.0,94075,80.0,"Young male bovine animals, intended for fattening",6,young male bovine animal intended fattening,bovine animal,young male intended fattening,,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual,6,"bovine bovid animal animate_being beast brute creature fauna carnal fleshly sensual Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294920,94077,80,1,102294900.0,94075,80.0,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,heifer cow grey brown yellow mountain breed spotted pinzgau breed,,heifer cow grey brown yellow mountain breed spotted pinzgau breed,,,,6,"heifer cow grey brown yellow mountain breed spotted pinzgau breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294930,94078,80,1,102294900.0,94075,80.0,Heifers and cows of the Schwyz and Fribourg breeds,6,heifer cow schwyz fribourg breed,,heifer cow schwyz fribourg breed,,,,6,"heifer cow schwyz fribourg breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294940,94079,80,1,102294900.0,94075,80.0,Heifers and cows of the spotted Simmental breed,6,heifer cow spotted simmental breed,,heifer cow spotted simmental breed,,,,6,"heifer cow spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294950,94080,80,1,102294900.0,94075,80.0,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,bull schwyz fribourg spotted simmental breed,,bull schwyz fribourg spotted simmental breed,,,,6,"bull schwyz fribourg spotted simmental breed Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
102294990,94081,80,1,102294900.0,94075,80.0,Other,6,,,,,,,6,"other Bovine Animals (Live), Buffaloes (Live), Bullocks (Live), Bulls (Live), Calves, Cattle, Cows - Live, Heifers, Steers"
